"","Acholi","Ankole","Bugishu","Bukedi","Bunyoro","Busoga","Kampala","Karamoja","Kigezi","Lango","North Buganda","South Buganda","Teso","Tooro","West Nile"
"Acholi",NA,0.051272601385451,0.0113357243978136,-9.62558803389727e-05,0.00536210261721529,0.000216647688507568,0.00505588028850403,0.0125349164416108,0.0498475530047995,0.000362500806195178,0.00414187245312832,0.00804999370517882,0.000827535377752857,0.0182453818388415,0.00678257794074612
"Ankole",0.051272601385451,NA,0.0152750320268139,0.0661841459055835,0.0255679203622535,0.0592058550906788,0.0221409847590976,0.0132077595993302,0.00143427413838525,0.0637405269029758,0.024394273870352,0.0172582651938669,0.0447407590580307,0.00823951913336037,0.0234261660783303
"Bugishu",0.0113357243978136,0.0152750320268139,NA,0.0129868781327553,0.00132466135164762,0.0147429248769988,0.00167026049749741,-0.000169771719542205,0.0230984797062474,0.0158375768794554,0.00220387149921039,0.000552946170674632,0.00647740326724829,0.000393310782361326,0.000629954088821559
"Bukedi",-9.62558803389727e-05,0.0661841459055835,0.0129868781327553,NA,0.00614906201507072,7.92217810700561e-05,0.00576424233367081,0.013914341102956,0.0642584362068623,0.000197753833113607,0.0047374764417874,0.00915635234914492,0.00100108125231939,0.0215333007741673,0.00775927431720487
"Bunyoro",0.00536210261721529,0.0255679203622535,0.00132466135164762,0.00614906201507072,NA,0.00800466571666152,-4.39219096102609e-05,0.00206418179398655,0.0303984517905019,0.00881335083137156,5.29739249977835e-05,9.8687742421768e-05,0.00189976460530749,0.00376409601449874,1.03965033641036e-06
"Busoga",0.000216647688507568,0.0592058550906788,0.0147429248769988,7.92217810700561e-05,0.00800466571666152,NA,0.00783361528057254,0.0158414741921088,0.0558252694063479,-5.66540905651399e-05,0.00666254264559752,0.0115310754949551,0.00209081822173391,0.0230206505902307,0.0096219147482357
"Kampala",0.00505588028850403,0.0221409847590976,0.00167026049749741,0.00576424233367081,-4.39219096102609e-05,0.00783361528057254,NA,0.00247373399606938,0.0263590471110388,0.00868313203743702,-4.76348914134452e-08,0.000271122757965714,0.00158021369190124,0.00410329429433475,0.000152934996344916
"Karamoja",0.0125349164416108,0.0132077595993302,-0.000169771719542205,0.013914341102956,0.00206418179398655,0.0158414741921088,0.00247373399606938,NA,0.0244882660612624,0.0168248851855929,0.00309223477364451,0.00107957691867364,0.00760686321848535,-0.000103279624363762,0.00121090145398513
"Kigezi",0.0498475530047995,0.00143427413838525,0.0230984797062474,0.0642584362068623,0.0303984517905019,0.0558252694063479,0.0263590471110388,0.0244882660612624,NA,0.0593214235976394,0.0283006361892777,0.0220155428927608,0.0463296091634561,0.0136413949232868,0.0296720953818273
"Lango",0.000362500806195178,0.0637405269029758,0.0158375768794554,0.000197753833113607,0.00881335083137156,-5.66540905651399e-05,0.00868313203743702,0.0168248851855929,0.0593214235976394,NA,0.00742878828699055,0.0126265455929978,0.00247995596171331,0.0248070499981737,0.0104948143637659
"North Buganda",0.00414187245312832,0.024394273870352,0.00220387149921039,0.0047374764417874,5.29739249977835e-05,0.00666254264559752,-4.76348914134452e-08,0.00309223477364451,0.0283006361892777,0.00742878828699055,NA,0.000531585189846074,0.00108433366398596,0.00495660609586098,0.000378334019934327
"South Buganda",0.00804999370517882,0.0172582651938669,0.000552946170674632,0.00915635234914492,9.8687742421768e-05,0.0115310754949551,0.000271122757965714,0.00107957691867364,0.0220155428927608,0.0126265455929978,0.000531585189846074,NA,0.00343718174943799,0.00220380041774246,-7.6269028875209e-05
"Teso",0.000827535377752857,0.0447407590580307,0.00647740326724829,0.00100108125231939,0.00189976460530749,0.00209081822173391,0.00158021369190124,0.00760686321848535,0.0463296091634561,0.00247995596171331,0.00108433366398596,0.00343718174943799,NA,0.0117973615466488,0.00290390257029364
"Tooro",0.0182453818388415,0.00823951913336037,0.000393310782361326,0.0215333007741673,0.00376409601449874,0.0230206505902307,0.00410329429433475,-0.000103279624363762,0.0136413949232868,0.0248070499981737,0.00495660609586098,0.00220380041774246,0.0117973615466488,NA,0.00255669453698783
"West Nile",0.00678257794074612,0.0234261660783303,0.000629954088821559,0.00775927431720487,1.03965033641036e-06,0.0096219147482357,0.000152934996344916,0.00121090145398513,0.0296720953818273,0.0104948143637659,0.000378334019934327,-7.6269028875209e-05,0.00290390257029364,0.00255669453698783,NA
