"","Acholi","Ankole","Bugishu","Bukedi","Bunyoro","Busoga","Kampala","Karamoja","Kigezi","Lango","North Buganda","South Buganda","Teso","Tooro","West Nile"
"Acholi",0,0.00370835168845011,0.00131529658524153,1.28642664920238e-06,0.00063894234599902,4.09548499917092e-05,0.000567243634628432,0.00153763993624125,0.00453194742265,6.34351814160349e-05,0.000478456429145772,0.000841659645789455,0.000118976202788057,0.00175998949445133,0.000809248189286515
"Ankole",0.00370835168845011,0,0.000605259398882181,0.00384804224714101,0.00126675510049996,0.00453049783224997,0.00137288469216046,0.000469051457998177,4.10924691428255e-05,0.00474412249916844,0.00152073380330754,0.00101484889484092,0.00249720051722678,0.00035795926538104,0.00105111052341833
"Bugishu",0.00131529658524153,0.000605259398882181,0,0.00139890923426767,0.000120663014002713,0.00182086294665593,0.000154872146124485,8.66501631209015e-06,0.000961918282287601,0.00195700348100793,0.000207004811300389,5.25890399757242e-05,0.00064284455745639,3.22724698885729e-05,6.10851103210588e-05
"Bukedi",1.28642664920238e-06,0.00384804224714101,0.00139890923426767,0,0.000697588204348867,2.7724132137757e-05,0.000622573444265176,0.00162794960876109,0.00468630145939742,4.66541217757784e-05,0.000529374500541022,0.000908785815614891,0.000145007435262141,0.001856529389798,0.000875093115115484
"Bunyoro",0.00063894234599902,0.00126675510049996,0.000120663014002713,0.000697588204348867,0,0.0010035888046306,2.13157731472781e-06,0.000194004141728309,0.00176455772488695,0.0011052484642223,1.1578510815663e-05,1.39329969255968e-05,0.000206430990135638,0.000277758162241075,1.00415427364333e-05
"Busoga",4.09548499917092e-05,0.00453049783224997,0.00182086294665593,2.7724132137757e-05,0.0010035888046306,0,0.000913174569130821,0.00208100904563749,0.00543688772876148,2.44917203890601e-06,0.000799488298794489,0.00125416964177793,0.000299560740407182,0.00233852745379082,0.00121452662365087
"Kampala",0.000567243634628432,0.00137288469216046,0.000154872146124485,0.000622573444265176,2.13157731472781e-06,0.000913174569130821,0,0.000236811646642009,0.00188946400172471,0.00101025529046228,3.77417666875121e-06,2.69641267088073e-05,0.000166605592572417,0.000328562424576913,2.14261808037255e-05
"Karamoja",0.00153763993624125,0.000469051457998177,8.66501631209015e-06,0.00162794960876109,0.000194004141728309,0.00208100904563749,0.000236811646642009,0,0.000787918482192379,0.00222640034430029,0.000300386743585649,0.000103949829389715,0.000800837690475545,7.49239249577716e-06,0.000115765982877649
"Kigezi",0.00453194742265,4.10924691428255e-05,0.000961918282287601,0.00468630145939742,0.00176455772488695,0.00543688772876148,0.00188946400172471,0.000787918482192379,0,0.00567078162629415,0.00206230499372271,0.00146466512723149,0.00317998785511792,0.000641694453781382,0.0015081737866759
"Lango",6.34351814160349e-05,0.00474412249916844,0.00195700348100793,4.66541217757784e-05,0.0011052484642223,2.44917203890601e-06,0.00101025529046228,0.00222640034430029,0.00567078162629415,0,0.000890477382755326,0.00136754007484852,0.000356192462275203,0.00249252536267909,0.00132612766552696
"North Buganda",0.000478456429145772,0.00152073380330754,0.000207004811300389,0.000529374500541022,1.1578510815663e-05,0.000799488298794489,3.77417666875121e-06,0.000300386743585649,0.00206230499372271,0.000890477382755326,0,5.09147807231951e-05,0.000120225026890298,0.000402779549148821,4.31858720936689e-05
"South Buganda",0.000841659645789455,0.00101484889484092,5.25890399757242e-05,0.000908785815614891,1.39329969255968e-05,0.00125416964177793,2.69641267088073e-05,0.000103949829389715,0.00146466512723149,0.00136754007484852,5.09147807231951e-05,0,0.000327642034915764,0.000167262046426435,3.17927178052169e-07
"Teso",0.000118976202788057,0.00249720051722678,0.00064284455745639,0.000145007435262141,0.000206430990135638,0.000299560740407182,0.000166605592572417,0.000800837690475545,0.00317998785511792,0.000356192462275203,0.000120225026890298,0.000327642034915764,0,0.000963326519831884,0.000307544443479063
"Tooro",0.00175998949445133,0.00035795926538104,3.22724698885729e-05,0.001856529389798,0.000277758162241075,0.00233852745379082,0.000328562424576913,7.49239249577716e-06,0.000641694453781382,0.00249252536267909,0.000402779549148821,0.000167262046426435,0.000963326519831884,0,0.000182165835056657
"West Nile",0.000809248189286515,0.00105111052341833,6.10851103210588e-05,0.000875093115115484,1.00415427364333e-05,0.00121452662365087,2.14261808037255e-05,0.000115765982877649,0.0015081737866759,0.00132612766552696,4.31858720936689e-05,3.17927178052169e-07,0.000307544443479063,0.000182165835056657,0
