district,AA,AS,SS,n_ind,het_prop,p_exact,p_fdr,HWE_flag_exact
Abim,230,46,4,280,0.16428571428571428,0.3028104696640869,0.8246237340999842,FALSE
Adjumani,291,46,1,338,0.13609467455621302,1,1,FALSE
Agago,811,165,12,988,0.16700404858299595,0.26873101348110645,0.8246237340999842,FALSE
Alebtong,260,84,7,351,0.23931623931623933,0.9999999999999999,1,FALSE
Aleptong,83,16,0,99,0.16161616161616163,1,1,FALSE
Amolatar,453,93,4,550,0.1690909090909091,1,1,FALSE
Amudat,78,9,0,87,0.10344827586206896,1,1,FALSE
Amuria,547,115,10,672,0.17113095238095238,0.1949690406376904,0.8246237340999842,FALSE
Amuru,352,63,5,420,0.15,0.22475115779528096,0.8246237340999842,FALSE
Apac,813,204,20,1037,0.19672131147540983,0.09862950897153071,0.7315415933472159,FALSE
Arua,938,133,2,1073,0.1239515377446412,0.3092339002874941,0.8246237340999842,FALSE
Budaka,219,47,1,267,0.1760299625468165,0.7085573059455382,1,FALSE
Bududa,246,16,1,263,0.060836501901140684,0.25988081000412555,0.8246237340999842,FALSE
Bugiri,563,133,8,704,0.18892045454545456,1,1,FALSE
Buhweju,235,6,1,242,0.024793388429752067,0.05707087273825471,0.5660676320649012,FALSE
Buikwe,1455,290,18,1763,0.1644923425978446,0.39384079560804963,0.8904773426947599,FALSE
Bukedea,323,48,0,371,0.1293800539083558,0.3846101849866827,0.8904773426947599,FALSE
Bukomansimbi,583,91,5,679,0.13402061855670103,0.40807840307474114,0.8904773426947599,FALSE
Bukwo,121,8,0,129,0.06201550387596899,0.9999999999999999,1,FALSE
Bulambuli,273,22,1,296,0.07432432432432433,0.384688136187193,0.8904773426947599,FALSE
Buliisa,199,48,5,252,0.19047619047619047,0.3445488704469033,0.8647501062196788,FALSE
Bundibugyo,317,86,6,409,0.21026894865525672,1,1,FALSE
Bunyangabu,91,9,0,100,0.09,1,1,FALSE
Bushenyi,1255,55,1,1311,0.041952707856598014,0.46321155804511055,0.9264231160902211,FALSE
Busia,497,114,11,622,0.1832797427652733,0.1474323796047457,0.8204932430177152,FALSE
Butaleja,235,46,6,287,0.1602787456445993,0.052346106569870925,0.5660676320649012,FALSE
Butambala,441,71,5,517,0.13733075435203096,0.2280874888363259,0.8246237340999842,FALSE
Butebo,79,17,1,97,0.17525773195876287,1,1,FALSE
Buvuma,361,63,4,428,0.14719626168224298,0.517014177695412,0.983632288183339,FALSE
Buyende,344,64,6,414,0.15458937198067632,0.13781268690133067,0.8018192692441057,FALSE
Dokolo,387,90,5,482,0.18672199170124482,1,1,FALSE
Gomba,452,56,6,514,0.10894941634241245,0.017357279983748548,0.29209506148784575,FALSE
Gulu,2466,616,30,3112,0.19794344473007713,0.22978416734537552,0.8246237340999842,FALSE
Hoima,1431,222,14,1667,0.1331733653269346,0.109766813098561,0.7394816882429373,FALSE
Ibanda,909,53,2,964,0.054979253112033194,0.1992920830537924,0.8246237340999842,FALSE
Iganga,813,201,15,1029,0.19533527696793002,0.5302392803488312,0.983632288183339,FALSE
Isingiro,1184,70,3,1257,0.05568814638027048,0.10092931487458216,0.7315415933472159,FALSE
Jinja,1414,346,30,1790,0.19329608938547485,0.10020399511392891,0.7315415933472159,FALSE
Kaabong,204,10,0,214,0.04672897196261682,0.9999999999999999,1,FALSE
Kabale,1146,30,0,1176,0.025510204081632654,1,1,FALSE
Kabarole,2829,300,6,3135,0.09569377990430622,0.7037065782189394,1,FALSE
Kaberamaido,516,96,4,616,0.15584415584415584,1,1,FALSE
Kagadi,93,7,0,100,0.07,0.9999999999999999,1,FALSE
Kakumiro,89,10,1,100,0.1,0.29555657892878195,0.8246237340999842,FALSE
Kalangala,578,82,3,663,0.12368024132730016,1,1,FALSE
Kaliro,307,67,6,380,0.1763157894736842,0.2717463141473235,0.8246237340999842,FALSE
Kalungu,876,140,6,1022,0.136986301369863,0.8196181263917258,1,FALSE
Kampala,11634,1837,95,13566,0.13541205956066638,0.01825594134299036,0.29209506148784575,FALSE
Kamuli,592,153,10,755,0.20264900662251656,1,1,FALSE
Kamwenge,1003,64,1,1068,0.0599250936329588,1,1,FALSE
Kanungu,809,32,3,844,0.037914691943127965,0.0069268998725285115,0.22764526320993053,FALSE
Kapchorwa,239,17,1,257,0.06614785992217899,0.2919111976637464,0.8246237340999842,FALSE
Kasese,1177,131,6,1314,0.09969558599695585,0.27361310216354456,0.8246237340999842,FALSE
