region,AA,AS,SS,n_ind,het_prop,p_exact,p_fdr,HWE_flag_exact
Acholi,6275,1455,76,7806,0.18639508070714836,0.461772695145769,0.532814648245118,FALSE
Ankole,11244,609,21,11874,0.05128852956038403,3.497225211637681e-4,0.0031237363679470186,TRUE
Bugishu,2683,312,23,3018,0.10337972166998012,4.1649818239293583e-4,0.0031237363679470186,TRUE
Bukedi,2754,619,47,3420,0.18099415204678362,0.08107354808214719,0.14204602956788054,FALSE
Bunyoro,4607,689,45,5341,0.1290020595394121,0.0015700000733717388,0.005887500275144021,TRUE
Busoga,6007,1462,104,7573,0.1930542717549188,0.159937064042249,0.21809599642124863,FALSE
Kampala,11634,1837,95,13566,0.13541205956066638,0.01825594134299036,0.05476782402897108,FALSE
Karamoja,1150,129,7,1286,0.10031104199066875,0.10870951038371983,0.16306426557557974,FALSE
Kigezi,3827,141,4,3972,0.035498489425981876,0.04902152087036652,0.11545135480757951,FALSE
Lango,5178,1271,98,6547,0.1941347181915381,0.05387729891020377,0.11545135480757951,FALSE
North Buganda,10443,1687,99,12229,0.13795077275329135,0.0014267182360313648,0.005887500275144021,TRUE
South Buganda,13414,1964,74,15452,0.12710328760031064,0.8004539781846818,0.8004539781846818,FALSE
Teso,3777,727,47,4551,0.15974511096462315,0.08522761774072832,0.14204602956788054,FALSE
Tooro,8174,892,28,9094,0.09808665053881681,0.4574751485448354,0.532814648245118,FALSE
West Nile,3387,508,16,3911,0.12989005369470724,0.6181915740164738,0.6623481150176506,FALSE
