Region,Genotype,Proportion
Acholi,HbAA,0.8038688188572892
Acholi,HbAS,0.18639508070714836
Acholi,HbSS,0.009736100435562388
Ankole,HbAA,0.9469429004547751
Ankole,HbAS,0.05128852956038403
Ankole,HbSS,0.0017685699848408287
Bugishu,HbAA,0.8889993373094764
Bugishu,HbAS,0.10337972166998012
Bugishu,HbSS,0.007620941020543406
Bukedi,HbAA,0.8052631578947368
Bukedi,HbAS,0.18099415204678362
Bukedi,HbSS,0.013742690058479532
Bunyoro,HbAA,0.8625725519565625
Bunyoro,HbAS,0.1290020595394121
Bunyoro,HbSS,0.008425388504025463
Busoga,HbAA,0.7932127294335138
Busoga,HbAS,0.1930542717549188
Busoga,HbSS,0.01373299881156741
Kampala,HbAA,0.8575851393188855
Kampala,HbAS,0.13541205956066638
Kampala,HbSS,0.0070028011204481795
Karamoja,HbAA,0.8942457231726283
Karamoja,HbAS,0.10031104199066875
Karamoja,HbSS,0.005443234836702955
Kigezi,HbAA,0.9634944612286002
Kigezi,HbAS,0.035498489425981876
Kigezi,HbSS,0.0010070493454179255
Lango,HbAA,0.7908965938597831
Lango,HbAS,0.1941347181915381
Lango,HbSS,0.014968687948678784
North Buganda,HbAA,0.8539537165753537
North Buganda,HbAS,0.13795077275329135
North Buganda,HbSS,0.008095510671354975
South Buganda,HbAA,0.8681076883251359
South Buganda,HbAS,0.12710328760031064
South Buganda,HbSS,0.004789024074553456
Teso,HbAA,0.8299274884640738
Teso,HbAS,0.15974511096462315
Teso,HbSS,0.01032740057130301
Tooro,HbAA,0.8988343963052562
Tooro,HbAS,0.09808665053881681
Tooro,HbSS,0.003078953155926985
West Nile,HbAA,0.8660189209920737
West Nile,HbAS,0.12989005369470724
West Nile,HbSS,0.004091025313219126
