Region,Genotype,StdResid
Acholi,HbAA,-15.578050085065167
Ankole,HbAA,28.31956234896689
Bugishu,HbAA,4.300950605002171
Bukedi,HbAA,-9.855640195841204
Bunyoro,HbAA,0.03661282838504294
Busoga,HbAA,-18.116345773498963
Kampala,HbAA,-1.7406633581947477
Karamoja,HbAA,3.334401889322492
Kigezi,HbAA,18.839466188532914
Lango,HbAA,-17.321502115291015
North Buganda,HbAA,-2.8780690401593643
South Buganda,HbAA,2.2205431435557976
Teso,HbAA,-6.49641558996733
Tooro,HbAA,10.531318351619136
West Nile,HbAA,0.6682582268391514
Acholi,HbAS,15.229652783020654
Ankole,HbAS,-27.121497496120007
Bugishu,HbAS,-4.476847808357365
Bukedi,HbAS,8.917541002705617
Bunyoro,HbAS,-0.3210478476494101
Busoga,HbAS,16.76684869679039
Kampala,HbAS,1.8350011396882335
Karamoja,HbAS,-3.2275848225494923
Kigezi,HbAS,-18.098160902243126
Lango,HbAS,15.779651572030906
North Buganda,HbAS,2.6145902361633624
South Buganda,HbAS,-1.3307542370995011
Teso,HbAS,5.994663491278201
Tooro,HbAS,-9.567639882880874
West Nile,HbAS,-0.10495248943460776
Acholi,HbSS,2.8129967011621435
Ankole,HbSS,-7.370994450570196
Bugishu,HbSS,0.3109203779660212
Bukedi,HbSS,4.648335031405691
Bunyoro,HbSS,1.1335825403390418
Busoga,HbSS,7.045955141967449
Kampala,HbSS,-0.21836527279585446
Karamoja,HbSS,-0.730992312714754
Kigezi,HbSS,-4.680873881861016
Lango,HbSS,7.742340970389464
North Buganda,HbSS,1.3155795237824621
South Buganda,HbSS,-3.7590627777141363
Teso,HbSS,2.597908307918402
Tooro,HbSS,-4.812186985113981
West Nile,HbSS,-2.312532604841013
