SubRegion,N,p_value
Acholi,7806,0.461772695145769
Ankole,11874,3.497225211637681e-4
Bugishu,3018,4.1649818239293583e-4
Bukedi,3420,0.08107354808214719
Bunyoro,5341,0.0015700000733717388
Busoga,7573,0.159937064042249
Kampala,13566,0.01825594134299036
Karamoja,1286,0.10870951038371983
Kigezi,3972,0.04902152087036652
Lango,6547,0.05387729891020377
North Buganda,12229,0.0014267182360313648
South Buganda,15452,0.8004539781846818
Teso,4551,0.08522761774072832
Tooro,9094,0.4574751485448354
West Nile,3911,0.6181915740164738
