SubRegion,malaria_pct,N_alleles,pS_fitted,OR_per_10pct,OR_lo,OR_hi
Acholi,40.6789899,15612,0.09857111601939486,1.3184203508810137,1.1478012129352515,1.5144017988725285
Ankole,10.9400876,23748,0.03337758228182086,1.3379635607187483,1.1562492228486103,1.5482358426160678
Bugishu,19.568382200000002,6036,0.05924514407171554,1.3520344021040989,1.1623032109381228,1.5727367930073664
Bukedi,26.073962499999997,6840,0.08120506552698334,1.2916198704053405,1.136107211632393,1.4684194172386875
Bunyoro,26.7766267,10682,0.08569798787201717,1.2084323211631847,1.0990082658990958,1.328751311653846
Busoga,32.5311244,15146,0.10197368779204431,1.2456415269113075,1.1157559951669471,1.3906470772167072
Kampala,9.306643900000001,27132,0.07290044480710021,1.197610385593202,1.0940899421888202,1.3109257112914479
Karamoja,39.452654100000004,2572,0.088988544668454,1.4282717472999524,1.1945360310561184,1.7077426976662065
Kigezi,9.3809433,7944,0.019510882693144393,1.438553504244484,1.1988075711347486,1.7262455079552343
Lango,37.8164709,13094,0.10430525928530172,1.2637108956749177,1.123798547809559,1.421042259718356
North Buganda,19.6787491,24458,0.0870407695999273,1.194293181588725,1.0925778021843875,1.3054779263661127
South Buganda,13.740593200000001,30904,0.06473079740229808,1.227438018375691,1.1075925485807103,1.3602511960599892
Teso,38.0801946,9102,0.1016898728630337,1.3117046045105456,1.144883258611611,1.5028335479205839
Tooro,16.5108636,18188,0.04752739546192559,1.285480990425812,1.1334065057130431,1.4579600244190751
West Nile,26.058366900000003,7822,0.0663023617056819,1.2887239098047596,1.1348333851086478,1.4634829548510877
