SubRegion,District,n_ind,S_count,N_alleles,pS_raw,malaria,malaria10
Acholi,Agago,988,189,1976,0.09564777327935223,0.4492602050304413,4.492602050304413
Acholi,Amuru,420,73,840,0.0869047619047619,0.3665675520896912,3.665675520896912
Acholi,Gulu,3112,676,6224,0.10861182519280206,0.4184714555740357,4.1847145557403564
Acholi,Kitgum,1146,221,2292,0.09642233856893542,0.4264207482337952,4.264207482337952
Acholi,Lamwo,641,122,1282,0.09516380655226209,0.3735327422618866,3.735327422618866
Acholi,Nwoya,632,147,1264,0.11629746835443038,0.3980729281902313,3.9807292819023132
Acholi,Omoro,100,26,200,0.13,0.4338521957397461,4.338521957397461
Acholi,Pader,767,153,1534,0.09973924380704041,0.42644375562667847,4.264437556266785
Ankole,Buhweju,242,8,484,0.01652892561983471,0.09964337944984436,0.9964337944984436
Ankole,Bushenyi,1311,57,2622,0.021739130434782608,0.1142328679561615,1.142328679561615
Ankole,Ibanda,964,57,1928,0.029564315352697094,0.12643980979919434,1.2643980979919434
Ankole,Isingiro,1257,76,2514,0.030230708035003977,0.08860678225755692,0.8860678225755692
Ankole,Kiruhura,1016,61,2032,0.030019685039370077,0.12627796828746796,1.2627796828746796
Ankole,Mbarara,3112,175,6224,0.028116966580976864,0.09756328910589218,0.9756328910589218
Ankole,Mitooma,497,10,994,0.01006036217303823,0.11177247762680054,1.1177247762680054
Ankole,Ntungamo,1413,59,2826,0.020877565463552725,0.07508915662765503,0.7508915662765503
Ankole,Rubirizi,459,45,918,0.049019607843137254,0.1271798461675644,1.271798461675644
Ankole,Sheema,1002,47,2004,0.023453093812375248,0.0934688001871109,0.934688001871109
Ankole,Ssembabule,601,56,1202,0.04658901830282862,0.17335012555122375,1.7335012555122375
Bugishu,Bududa,263,18,526,0.034220532319391636,0.1943010240793228,1.9430102407932277
Bugishu,Bukwo,129,8,258,0.031007751937984496,0.08425900340080261,0.8425900340080261
Bugishu,Bulambuli,296,24,592,0.04054054054054054,0.24741627275943756,2.4741627275943756
Bugishu,Kapchorwa,257,19,514,0.03696498054474708,0.1886083334684372,1.886083334684372
Bugishu,Kween,113,6,226,0.02654867256637168,0.17003025114536283,1.700302511453628
Bugishu,Manafwa,393,49,786,0.062340966921119595,0.2206161469221115,2.206161469221115
Bugishu,Mbale,1117,169,2234,0.0756490599820949,0.21936866641044617,2.1936866641044617
Bugishu,Namisindwa,100,21,200,0.105,0.19329363107681272,1.932936310768127
Bugishu,Sironko,350,44,700,0.06285714285714286,0.2058887630701065,2.058887630701065
Bukedi,Budaka,267,49,534,0.09176029962546817,0.23329566419124603,2.3329566419124603
Bukedi,Busia,622,136,1244,0.10932475884244373,0.3800728917121887,3.800728917121887
Bukedi,Butaleja,287,58,574,0.10104529616724739,0.2142171412706375,2.142171412706375
Bukedi,Butebo,97,19,194,0.0979381443298969,0.26414772868156433,2.6414772868156433
Bukedi,Kibuku,297,61,594,0.1026936026936027,0.249503955245018,2.49503955245018
Bukedi,Pallisa,412,69,824,0.08373786407766991,0.2777520716190338,2.777520716190338
Bukedi,Tororo,1438,321,2876,0.11161335187760779,0.21307748556137085,2.1307748556137085
Bunyoro,Buliisa,252,58,504,0.11507936507936507,0.3172304332256317,3.172304332256317
Bunyoro,Hoima,1667,250,3334,0.07498500299940011,0.22241999208927157,2.2241999208927155
Bunyoro,Kagadi,100,7,200,0.035,0.21954867243766785,2.1954867243766785
Bunyoro,Kakumiro,100,12,200,0.06,0.2007637619972229,2.007637619972229
Bunyoro,Kibaale,1704,203,3408,0.059565727699530516,0.2225046306848526,2.225046306848526
Bunyoro,Kiryandongo,615,93,1230,0.07560975609756097,0.3619154691696167,3.619154691696167
Bunyoro,Masindi,903,156,1806,0.08637873754152824,0.26816195249557495,2.6816195249557495
Busoga,Bugiri,704,149,1408,0.10582386363636363,0.2873198986053467,2.873198986053467
Busoga,Buyende,414,76,828,0.09178743961352658,0.34654536843299866,3.4654536843299866
Busoga,Iganga,1029,231,2058,0.11224489795918367,0.34312865138053894,3.4312865138053894
Busoga,Jinja,1790,406,3580,0.11340782122905028,0.26435133814811707,2.6435133814811707
Busoga,Kaliro,380,79,760,0.10394736842105264,0.31605687737464905,3.1605687737464905
Busoga,Kamuli,755,173,1510,0.11456953642384106,0.35214632749557495,3.5214632749557495
Busoga,Luuka,359,77,718,0.10724233983286909,0.361828088760376,3.6182808876037598
Busoga,Mayuge,895,197,1790,0.1100558659217877,0.32169109582901,3.2169109582901
Busoga,Namayingo,838,191,1676,0.11396181384248211,0.3927464485168457,3.927464485168457
Busoga,Namutumba,409,91,818,0.11124694376528117,0.25176045298576355,2.5176045298576355
Kampala,Kampala,13566,2027,27132,0.07470883090078137,0.09309104830026628,0.9309104830026628
