District,n_ind,S_count,N_alleles,pS_raw,EB_pS,malaria
Abim,280,54,560,0.096428571,1,0.496731997
Adjumani,338,48,676,0.071005917,0.987611924,0.285867929
Agago,988,189,1976,0.095647773,1,0.449260205
Alebtong,351,98,702,0.13960114,1,0.372671306
Amolatar,550,101,1100,0.091818182,1,0.275635481
Amudat,87,9,174,0.051724138,0.680638501,0.177979708
Amuria,672,135,1344,0.100446429,1,0.408890605
Amuru,420,73,840,0.086904762,1,0.366567552
Apac,1037,244,2074,0.117647059,1,0.372584105
Arua,1073,137,2146,0.063839702,0.866389044,0.236466736
Budaka,267,49,534,0.0917603,1,0.233295664
Bududa,263,18,526,0.034220532,0.646459232,0.194301024
Bugiri,704,149,1408,0.105823864,1,0.287319899
Bugweri,NA,NA,NA,0.1,NA,NA
Buhweju,242,8,484,0.016528926,0.354551834,0.099643379
Buikwe,1763,326,3526,0.092456041,1,0.179367125
Bukedea,371,48,742,0.064690027,0.950365854,0.319619596
Bukomansimbi,679,101,1358,0.07437408,0.930407951,0.141236201
Bukwo,129,8,258,0.031007752,0.482953319,0.084259003
Bulambuli,296,24,592,0.040540541,0.690357118,0.247416273
Buliisa,252,58,504,0.115079365,1,0.317230433
Bundibugyo,409,98,818,0.119804401,1,0.163825214
Bunyangabu,100,9,200,0.045,0.698612858,0.142729014
Bushenyi,1311,57,2622,0.02173913,0.302489023,0.114232868
Busia,622,136,1244,0.109324759,1,0.380072892
Butaleja,287,58,574,0.101045296,1,0.214217141
Butambala,517,81,1034,0.078336557,0.954822571,0.115422286
Butebo,97,19,194,0.097938144,1,0.264147729
Buvuma,428,71,856,0.082943925,1,0.225525886
Buyende,414,76,828,0.09178744,1,0.346545368
Dokolo,482,100,964,0.10373444,1,0.280049741
Gomba,514,68,1028,0.06614786,0.905377075,0.158157185
Gulu,3112,676,6224,0.108611825,1,0.418471456
Hoima,1667,250,3334,0.074985003,1,0.222419992
Ibanda,964,57,1928,0.029564315,0.409577897,0.12643981
Iganga,1029,231,2058,0.112244898,1,0.343128651
Isingiro,1257,76,2514,0.030230708,0.428361856,0.088606782
Jinja,1790,406,3580,0.113407821,1,0.264351338
Kaabong,214,10,428,0.023364486,0.368359289,0.373985857
Kabale,1176,30,2352,0.012755102,0.178036962,0.047560811
Kabarole,3135,312,6270,0.049760766,0.688787218,0.165752158
Kaberamaido,616,104,1232,0.084415584,1,0.259100497
Kagadi,100,7,200,0.035,0.732687395,0.219548672
Kakumiro,100,12,200,0.06,0.820760576,0.200763762
Kalaki,NA,NA,NA,0.05,NA,NA
Kalangala,663,88,1326,0.066365008,0.941416553,0.146577328
Kaliro,380,79,760,0.103947368,1,0.316056877
Kalungu,1022,152,2044,0.074363992,0.96115061,0.129489318
Kampala,13566,2027,27132,0.074708831,1,0.093091048
Kamuli,755,173,1510,0.114569536,1,0.352146327
Kamwenge,1068,66,2136,0.030898876,0.547173008,0.173055574
Kanungu,844,38,1688,0.022511848,0.275853997,0.094444841
Kapchorwa,257,19,514,0.036964981,0.508270692,0.188608333
Kapelebyong,NA,NA,NA,0.02,NA,NA
Karenga,NA,NA,NA,0.01,NA,NA
Kasese,1314,143,2628,0.054414003,0.749610466,0.116873443
Kassanda,NA,NA,NA,0.01,NA,NA
Katakwi,589,96,1178,0.081494058,1,0.485961914
Kayunga,791,157,1582,0.099241466,1,0.291967243
Kazo,NA,NA,NA,0.05,NA,NA
Kibaale,1704,203,3408,0.059565728,0.762845877,0.222504631
Kiboga,818,123,1636,0.075183374,0.925763931,0.160649925
Kibuku,297,61,594,0.102693603,1,0.249503955
Kikuube,NA,NA,NA,0.03,NA,NA
Kiruhura,1016,61,2032,0.030019685,0.431605829,0.126277968
Kiryandongo,615,93,1230,0.075609756,1,0.361915469
Kisoro,461,18,922,0.019522777,0.280266861,0.074769638
Kitagwenda,NA,NA,NA,NA,NA,NA
Kitgum,1146,221,2292,0.096422339,1,0.426420748
Koboko,317,38,634,0.059936909,0.784175462,0.211427405
Kole,537,119,1074,0.110800745,1,0.444345564
Kotido,190,20,380,0.052631579,1,0.466117769
Kumi,460,71,920,0.077173913,1,0.381830186
Kwania,NA,NA,NA,0.01,NA,NA
Kween,113,6,226,0.026548673,0.495026189,0.170030251
Kyankwanzi,324,50,648,0.077160494,0.980165503,0.184261024
Kyegegwa,894,89,1788,0.049776286,0.702264645,0.206509903
Kyenjojo,1862,193,3724,0.051825994,0.705193081,0.193148687
Kyotera,99,8,198,0.04040404,0.801066607,0.124312177
Lamwo,641,122,1282,0.095163807,1,0.373532742
Lira,1878,431,3756,0.114749734,1,0.386844724
Luuka,359,77,718,0.10724234,1,0.361828089
Luwero,98,15,196,0.076530612,1,0.208658695
Lwengo,872,98,1744,0.056192661,0.797299465,0.137550175
Lyantonde,709,61,1418,0.043018336,0.616911785,0.146042824
Madi Okollo,NA,NA,NA,0.02,NA,NA
Manafwa,393,49,786,0.062340967,0.97978454,0.220616147
Maracha,100,4,200,0.02,0.72717335,0.216257438
Masaka,2398,337,4796,0.070266889,0.953029989,0.124883756
Masindi,903,156,1806,0.086378738,1,0.268161952
Mayuge,895,197,1790,0.110055866,1,0.321691096
Mbale,1117,169,2234,0.07564906,1,0.219368666
Mbarara,3112,175,6224,0.028116967,0.388185408,0.097563289
Mitooma,497,10,994,0.010060362,0.254115634,0.111772478
Mityana,1326,186,2652,0.070135747,0.949572247,0.139545694
Moroto,149,24,298,0.080536913,1,0.317819118
Moyo,261,25,522,0.04789272,0.796240272,0.199092776
Mpigi,1143,138,2286,0.060367454,0.932078487,0.115556687
Mubende,2132,246,4264,0.057692308,0.825646596,0.190857008
Mukono,1668,236,3336,0.070743405,1,0.174306139
Nabilatuk,NA,NA,NA,0.01,NA,NA
Nakapiripirit,64,4,128,0.03125,0.795815279,0.293703824
Nakaseke,646,98,1292,0.075851393,1,0.18730478
Nakasongola,605,122,1210,0.100826446,1,0.245926067
Namayingo,838,191,1676,0.113961814,1,0.392746449
Namisindwa,100,21,200,0.105,1,0.193293631
Namutumba,409,91,818,0.111246944,1,0.251760453
