District,n_individuals,S_count,N_alleles,pS,malaria,malaria10
Abim,280,54,560,0.09642857142857143,0.4967319965362549,4.967319965362549
Adjumani,338,48,676,0.07100591715976332,0.28586792945861816,2.8586792945861816
Agago,988,189,1976,0.09564777327935223,0.4492602050304413,4.492602050304413
Alebtong,351,98,702,0.1396011396011396,0.37267130613327026,3.7267130613327026
Aleptong,99,16,198,0.08080808080808081,NA,NA
Amolatar,550,101,1100,0.09181818181818181,0.2756354808807373,2.756354808807373
Amudat,87,9,174,0.05172413793103448,0.1779797077178955,1.779797077178955
Amuria,672,135,1344,0.10044642857142858,0.40889060497283936,4.0889060497283936
Amuru,420,73,840,0.0869047619047619,0.3665675520896912,3.665675520896912
Apac,1037,244,2074,0.11764705882352941,0.37258410453796387,3.7258410453796387
Arua,1073,137,2146,0.06383970177073625,0.23646673560142517,2.3646673560142517
Budaka,267,49,534,0.09176029962546817,0.23329566419124603,2.3329566419124603
Bududa,263,18,526,0.034220532319391636,0.1943010240793228,1.9430102407932277
Bugiri,704,149,1408,0.10582386363636363,0.2873198986053467,2.873198986053467
Buhweju,242,8,484,0.01652892561983471,0.09964337944984436,0.9964337944984436
Buikwe,1763,326,3526,0.09245604083947816,0.17936712503433228,1.7936712503433228
Bukedea,371,48,742,0.0646900269541779,0.3196195960044861,3.196195960044861
Bukomansimbi,679,101,1358,0.0743740795287187,0.14123620092868805,1.4123620092868805
Bukwo,129,8,258,0.031007751937984496,0.08425900340080261,0.8425900340080261
Bulambuli,296,24,592,0.04054054054054054,0.24741627275943756,2.4741627275943756
Buliisa,252,58,504,0.11507936507936507,0.3172304332256317,3.172304332256317
Bundibugyo,409,98,818,0.1198044009779951,0.16382521390914917,1.6382521390914917
Bunyangabu,100,9,200,0.045,0.1427290141582489,1.427290141582489
Bushenyi,1311,57,2622,0.021739130434782608,0.1142328679561615,1.142328679561615
Busia,622,136,1244,0.10932475884244373,0.3800728917121887,3.800728917121887
Butaleja,287,58,574,0.10104529616724739,0.2142171412706375,2.142171412706375
Butambala,517,81,1034,0.07833655705996131,0.11542228609323502,1.1542228609323502
Butebo,97,19,194,0.0979381443298969,0.26414772868156433,2.6414772868156433
Buvuma,428,71,856,0.08294392523364486,0.2255258858203888,2.255258858203888
Buyende,414,76,828,0.09178743961352658,0.34654536843299866,3.4654536843299866
Dokolo,482,100,964,0.1037344398340249,0.28004974126815796,2.8004974126815796
Gomba,514,68,1028,0.06614785992217899,0.15815718472003937,1.5815718472003937
Gulu,3112,676,6224,0.10861182519280206,0.4184714555740357,4.1847145557403564
Hoima,1667,250,3334,0.07498500299940011,0.22241999208927157,2.2241999208927155
Ibanda,964,57,1928,0.029564315352697094,0.12643980979919434,1.2643980979919434
Iganga,1029,231,2058,0.11224489795918367,0.34312865138053894,3.4312865138053894
Isingiro,1257,76,2514,0.030230708035003977,0.08860678225755692,0.8860678225755692
Jinja,1790,406,3580,0.11340782122905028,0.26435133814811707,2.6435133814811707
Kaabong,214,10,428,0.02336448598130841,0.3739858567714691,3.739858567714691
Kabale,1176,30,2352,0.012755102040816327,0.04756081104278564,0.47560811042785633
Kabarole,3135,312,6270,0.049760765550239235,0.16575215756893158,1.6575215756893158
Kaberamaido,616,104,1232,0.08441558441558442,0.2591004967689514,2.591004967689514
Kagadi,100,7,200,0.035,0.21954867243766785,2.1954867243766785
Kakumiro,100,12,200,0.06,0.2007637619972229,2.007637619972229
Kalangala,663,88,1326,0.06636500754147813,0.14657732844352722,1.4657732844352722
Kaliro,380,79,760,0.10394736842105264,0.31605687737464905,3.1605687737464905
Kalungu,1022,152,2044,0.07436399217221135,0.12948931753635406,1.2948931753635406
Kampala,13566,2027,27132,0.07470883090078137,0.09309104830026628,0.9309104830026628
Kamuli,755,173,1510,0.11456953642384106,0.35214632749557495,3.5214632749557495
Kamwenge,1068,66,2136,0.03089887640449438,0.17305557429790497,1.7305557429790497
Kanungu,844,38,1688,0.022511848341232227,0.09444484114646912,0.9444484114646912
Kapchorwa,257,19,514,0.03696498054474708,0.1886083334684372,1.886083334684372
Kasese,1314,143,2628,0.05441400304414003,0.11687344312667848,1.1687344312667847
Katakwi,589,96,1178,0.08149405772495756,0.4859619140625,4.859619140625
Kayunga,791,157,1582,0.09924146649810367,0.2919672429561615,2.919672429561615
Kibaale,1704,203,3408,0.059565727699530516,0.2225046306848526,2.225046306848526
