SubRegion,Acholi,Ankole,Bugishu,Bukedi,Bunyoro,Busoga,Kampala,Karamoja,Kigezi,Lango,North Buganda,South Buganda,Teso,Tooro,West Nile
Acholi,0,0.0037083516884501115,0.0013152965852415268,1.2864266492023836e-6,6.389423459990203e-4,4.095484999170925e-5,5.672436346284322e-4,0.0015376399362412487,0.00453194742265,6.343518141603491e-5,4.7845642914577175e-4,8.416596457894546e-4,1.1897620278805747e-4,0.0017599894944513345,8.092481892865151e-4
Ankole,0.0037083516884501115,0,6.052593988821814e-4,0.003848042247141015,0.0012667551004999647,0.004530497832249966,0.0013728846921604641,4.6905145799817704e-4,4.109246914282548e-5,0.00474412249916844,0.0015207338033075436,0.0010148488948409245,0.002497200517226778,3.579592653810399e-4,0.0010511105234183272
Bugishu,0.0013152965852415268,6.052593988821814e-4,0,0.001398909234267669,1.2066301400271304e-4,0.0018208629466559324,1.5487214612448476e-4,8.665016312090155e-6,9.619182822876013e-4,0.001957003481007935,2.07004811300389e-4,5.2589039975724236e-5,6.428445574563897e-4,3.2272469888572935e-5,6.108511032105884e-5
Bukedi,1.2864266492023836e-6,0.003848042247141015,0.001398909234267669,0,6.975882043488667e-4,2.772413213775699e-5,6.225734442651758e-4,0.0016279496087610915,0.004686301459397419,4.665412177577842e-5,5.293745005410221e-4,9.087858156148912e-4,1.4500743526214106e-4,0.0018565293897979962,8.750931151154845e-4
Bunyoro,6.389423459990203e-4,0.0012667551004999647,1.2066301400271304e-4,6.975882043488667e-4,0,0.0010035888046305964,2.131577314727809e-6,1.940041417283087e-4,0.00176455772488695,0.0011052484642223035,1.1578510815662957e-5,1.393299692559685e-5,2.064309901356375e-4,2.77758162241075e-4,1.004154273643333e-5
Busoga,4.095484999170925e-5,0.004530497832249966,0.0018208629466559324,2.772413213775699e-5,0.0010035888046305964,0,9.131745691308208e-4,0.0020810090456374916,0.005436887728761476,2.4491720389060057e-6,7.994882987944886e-4,0.0012541696417779277,2.995607404071823e-4,0.0023385274537908213,0.0012145266236508706
Kampala,5.672436346284322e-4,0.0013728846921604641,1.5487214612448476e-4,6.225734442651758e-4,2.131577314727809e-6,9.131745691308208e-4,0,2.3681164664200946e-4,0.0018894640017247065,0.0010102552904622771,3.7741766687512092e-6,2.6964126708807314e-5,1.6660559257241663e-4,3.2856242457691314e-4,2.142618080372553e-5
Karamoja,0.0015376399362412487,4.6905145799817704e-4,8.665016312090155e-6,0.0016279496087610915,1.940041417283087e-4,0.0020810090456374916,2.3681164664200946e-4,0,7.879184821923792e-4,0.0022264003443002926,3.003867435856489e-4,1.0394982938971468e-4,8.008376904755452e-4,7.492392495777155e-6,1.1576598287764894e-4
Kigezi,0.00453194742265,4.109246914282548e-5,9.619182822876013e-4,0.004686301459397419,0.00176455772488695,0.005436887728761476,0.0018894640017247065,7.879184821923792e-4,0,0.00567078162629415,0.002062304993722706,0.0014646651272314853,0.0031799878551179196,6.416944537813819e-4,0.0015081737866759046
Lango,6.343518141603491e-5,0.00474412249916844,0.001957003481007935,4.665412177577842e-5,0.0011052484642223035,2.4491720389060057e-6,0.0010102552904622771,0.0022264003443002926,0.00567078162629415,0,8.904773827553264e-4,0.0013675400748485215,3.5619246227520257e-4,0.0024925253626790858,0.0013261276655269615
North Buganda,4.7845642914577175e-4,0.0015207338033075436,2.07004811300389e-4,5.293745005410221e-4,1.1578510815662957e-5,7.994882987944886e-4,3.7741766687512092e-6,3.003867435856489e-4,0.002062304993722706,8.904773827553264e-4,0,5.091478072319505e-5,1.2022502689029848e-4,4.0277954914882144e-4,4.318587209366893e-5
South Buganda,8.416596457894546e-4,0.0010148488948409245,5.2589039975724236e-5,9.087858156148912e-4,1.393299692559685e-5,0.0012541696417779277,2.6964126708807314e-5,1.0394982938971468e-4,0.0014646651272314853,0.0013675400748485215,5.091478072319505e-5,0,3.2764203491576413e-4,1.6726204642643507e-4,3.179271780521688e-7
Teso,1.1897620278805747e-4,0.002497200517226778,6.428445574563897e-4,1.4500743526214106e-4,2.064309901356375e-4,2.995607404071823e-4,1.6660559257241663e-4,8.008376904755452e-4,0.0031799878551179196,3.5619246227520257e-4,1.2022502689029848e-4,3.2764203491576413e-4,0,9.633265198318845e-4,3.075444434790628e-4
Tooro,0.0017599894944513345,3.579592653810399e-4,3.2272469888572935e-5,0.0018565293897979962,2.77758162241075e-4,0.0023385274537908213,3.2856242457691314e-4,7.492392495777155e-6,6.416944537813819e-4,0.0024925253626790858,4.0277954914882144e-4,1.6726204642643507e-4,9.633265198318845e-4,0,1.821658350566567e-4
West Nile,8.092481892865151e-4,0.0010511105234183272,6.108511032105884e-5,8.750931151154845e-4,1.004154273643333e-5,0.0012145266236508706,2.142618080372553e-5,1.1576598287764894e-4,0.0015081737866759046,0.0013261276655269615,4.318587209366893e-5,3.179271780521688e-7,3.075444434790628e-4,1.821658350566567e-4,0
