Region1,Region2,GenDist_Nei
Acholi,Ankole,0.0037083516884501115
Acholi,Bugishu,0.0013152965852415268
Acholi,Bukedi,1.2864266492023836e-6
Acholi,Bunyoro,6.389423459990203e-4
Acholi,Busoga,4.095484999170925e-5
Acholi,Kampala,5.672436346284322e-4
Acholi,Karamoja,0.0015376399362412487
Acholi,Kigezi,0.00453194742265
Acholi,Lango,6.343518141603491e-5
Acholi,North Buganda,4.7845642914577175e-4
Acholi,South Buganda,8.416596457894546e-4
Acholi,Teso,1.1897620278805747e-4
Acholi,Tooro,0.0017599894944513345
Acholi,West Nile,8.092481892865151e-4
Ankole,Bugishu,6.052593988821814e-4
Ankole,Bukedi,0.003848042247141015
Ankole,Bunyoro,0.0012667551004999647
Ankole,Busoga,0.004530497832249966
Ankole,Kampala,0.0013728846921604641
Ankole,Karamoja,4.6905145799817704e-4
Ankole,Kigezi,4.109246914282548e-5
Ankole,Lango,0.00474412249916844
Ankole,North Buganda,0.0015207338033075436
Ankole,South Buganda,0.0010148488948409245
Ankole,Teso,0.002497200517226778
Ankole,Tooro,3.579592653810399e-4
Ankole,West Nile,0.0010511105234183272
Bugishu,Bukedi,0.001398909234267669
Bugishu,Bunyoro,1.2066301400271304e-4
Bugishu,Busoga,0.0018208629466559324
Bugishu,Kampala,1.5487214612448476e-4
Bugishu,Karamoja,8.665016312090155e-6
Bugishu,Kigezi,9.619182822876013e-4
Bugishu,Lango,0.001957003481007935
Bugishu,North Buganda,2.07004811300389e-4
Bugishu,South Buganda,5.2589039975724236e-5
Bugishu,Teso,6.428445574563897e-4
Bugishu,Tooro,3.2272469888572935e-5
Bugishu,West Nile,6.108511032105884e-5
Bukedi,Bunyoro,6.975882043488667e-4
Bukedi,Busoga,2.772413213775699e-5
Bukedi,Kampala,6.225734442651758e-4
Bukedi,Karamoja,0.0016279496087610915
Bukedi,Kigezi,0.004686301459397419
Bukedi,Lango,4.665412177577842e-5
Bukedi,North Buganda,5.293745005410221e-4
Bukedi,South Buganda,9.087858156148912e-4
Bukedi,Teso,1.4500743526214106e-4
Bukedi,Tooro,0.0018565293897979962
Bukedi,West Nile,8.750931151154845e-4
Bunyoro,Busoga,0.0010035888046305964
Bunyoro,Kampala,2.131577314727809e-6
Bunyoro,Karamoja,1.940041417283087e-4
Bunyoro,Kigezi,0.00176455772488695
Bunyoro,Lango,0.0011052484642223035
Bunyoro,North Buganda,1.1578510815662957e-5
Bunyoro,South Buganda,1.393299692559685e-5
Bunyoro,Teso,2.064309901356375e-4
Bunyoro,Tooro,2.77758162241075e-4
Bunyoro,West Nile,1.004154273643333e-5
Busoga,Kampala,9.131745691308208e-4
Busoga,Karamoja,0.0020810090456374916
Busoga,Kigezi,0.005436887728761476
Busoga,Lango,2.4491720389060057e-6
Busoga,North Buganda,7.994882987944886e-4
Busoga,South Buganda,0.0012541696417779277
Busoga,Teso,2.995607404071823e-4
Busoga,Tooro,0.0023385274537908213
Busoga,West Nile,0.0012145266236508706
Kampala,Karamoja,2.3681164664200946e-4
Kampala,Kigezi,0.0018894640017247065
Kampala,Lango,0.0010102552904622771
Kampala,North Buganda,3.7741766687512092e-6
Kampala,South Buganda,2.6964126708807314e-5
Kampala,Teso,1.6660559257241663e-4
Kampala,Tooro,3.2856242457691314e-4
Kampala,West Nile,2.142618080372553e-5
Karamoja,Kigezi,7.879184821923792e-4
Karamoja,Lango,0.0022264003443002926
Karamoja,North Buganda,3.003867435856489e-4
Karamoja,South Buganda,1.0394982938971468e-4
Karamoja,Teso,8.008376904755452e-4
Karamoja,Tooro,7.492392495777155e-6
Karamoja,West Nile,1.1576598287764894e-4
Kigezi,Lango,0.00567078162629415
Kigezi,North Buganda,0.002062304993722706
Kigezi,South Buganda,0.0014646651272314853
Kigezi,Teso,0.0031799878551179196
Kigezi,Tooro,6.416944537813819e-4
Kigezi,West Nile,0.0015081737866759046
Lango,North Buganda,8.904773827553264e-4
Lango,South Buganda,0.0013675400748485215
Lango,Teso,3.5619246227520257e-4
Lango,Tooro,0.0024925253626790858
Lango,West Nile,0.0013261276655269615
North Buganda,South Buganda,5.091478072319505e-5
North Buganda,Teso,1.2022502689029848e-4
North Buganda,Tooro,4.0277954914882144e-4
North Buganda,West Nile,4.318587209366893e-5
South Buganda,Teso,3.2764203491576413e-4
South Buganda,Tooro,1.6726204642643507e-4
South Buganda,West Nile,3.179271780521688e-7
Teso,Tooro,9.633265198318845e-4
Teso,West Nile,3.075444434790628e-4
Tooro,West Nile,1.821658350566567e-4
