"","Acholi","Ankole","Bugishu","Bukedi","Bunyoro","Busoga","Kampala","Karamoja","Kigezi","Lango","North Buganda","South Buganda","Teso","Tooro","West Nile"
"Acholi",0,456.723654445552,286.788832420846,283.058483803453,214.350666634997,316.41656404123,304.471477187803,184.204004589362,543.228413404101,107.149183890219,291.501900205408,382.918170054746,188.585317344156,379.776393691316,142.411616988291
"Ankole",456.723654445552,0,471.726214306914,406.038266157426,246.675583254588,344.308205882404,245.098947696708,546.862790638814,94.381373956722,386.24032763233,240.560162559149,156.100525102941,430.312637891019,107.208537086985,410.295072674025
"Bugishu",286.788832420846,471.726214306914,0,67.0911010692426,337.445111533447,138.836750479458,227.015493374477,171.31059435277,564.879039130571,203.036749882543,231.366407577181,325.40290001495,100.211369115792,456.253906547111,403.050940165325
"Bukedi",283.058483803453,406.038266157426,67.0911010692426,0,290.128003535904,73.2957881498031,160.958285665307,211.17363569829,498.764627798369,183.987388088674,166.529197247959,258.42122727973,100.604583620755,395.915218195147,380.934059355731
"Bunyoro",214.350666634997,246.675583254588,337.445111533447,290.128003535904,0,269.706117229016,190.172921881371,342.075044280692,329.76574808213,170.723601737049,173.208593128768,216.242210232038,255.432930070872,165.690277690907,173.852186089188
"Busoga",316.41656404123,344.308205882404,138.836750479458,73.2957881498031,269.706117229016,0,103.204493927252,277.675795760275,435.054616348924,209.955722486364,114.142405225603,191.636481146021,156.034452133517,347.997267281827,391.051445324471
"Kampala",304.471477187803,245.098947696708,227.015493374477,160.958285665307,190.172921881371,103.204493927252,0,326.678480620911,337.894230895407,201.989469509901,17.0332332275881,101.841677877048,201.123992582552,245.222026502032,340.901832070801
"Karamoja",184.204004589362,546.862790638814,171.31059435277,211.17363569829,342.075044280692,277.675795760275,326.678480620911,0,640.587685706567,171.434231423862,322.132645292072,426.9123932629,126.506111849036,497.959384571164,325.81931227159
"Kigezi",543.228413404101,94.381373956722,564.879039130571,498.764627798369,329.76574808213,435.054616348924,337.894230895407,640.587685706567,0,478.097682954131,334.196863095113,244.027359798023,524.667439624857,170.091040949958,482.906586691247
"Lango",107.149183890219,386.24032763233,203.036749882543,183.987388088674,170.723601737049,209.955722486364,201.989469509901,171.434231423862,478.097682954131,0,190.68657156058,289.00345381206,104.142552388998,328.225503335028,200.268812591472
"North Buganda",291.501900205408,240.560162559149,231.366407577181,166.529197247959,173.208593128768,114.142405225603,17.0332332275881,322.132645292072,334.196863095113,190.68657156058,0,104.783312902209,197.85402917128,234.017832429129,324.452979449052
"South Buganda",382.918170054746,156.100525102941,325.40290001495,258.42122727973,216.242210232038,191.636481146021,101.841677877048,426.9123932629,244.027359798023,289.00345381206,104.783312902209,0,302.2727796439,192.398661102973,387.615550656033
"Teso",188.585317344156,430.312637891019,100.211369115792,100.604583620755,255.432930070872,156.034452133517,201.123992582552,126.506111849036,524.667439624857,104.142552388998,197.85402917128,302.2727796439,0,394.434770771645,303.271256398522
"Tooro",379.776393691316,107.208537086985,456.253906547111,395.915218195147,165.690277690907,347.997267281827,245.222026502032,497.959384571164,170.091040949958,328.225503335028,234.017832429129,192.398661102973,394.434770771645,0,312.865983641579
"West Nile",142.411616988291,410.295072674025,403.050940165325,380.934059355731,173.852186089188,391.051445324471,340.901832070801,325.81931227159,482.906586691247,200.268812591472,324.452979449052,387.615550656033,303.271256398522,312.865983641579,0
