SubRegion,Acholi,Ankole,Bugishu,Bukedi,Bunyoro,Busoga,South Buganda,North Buganda,Kampala,Karamoja,Kigezi,Lango,Teso,Tooro,West Nile
Acholi,0,407.2612448524914,263.82921228243447,249.9651844520051,195.16856212396226,270.8510582122886,326.1947153997495,245.78225075724419,256.48271982593207,183.48162586887102,491.17883984233043,91.13655724963355,171.17031856623714,348.5501838733066,142.58012835493565
Ankole,407.2612448524914,0,460.46785035942435,397.7998022680187,217.16954672616106,340.60407901528555,155.78547756746218,234.3888964899051,240.49541215809657,511.58729685091527,90.58062935924183,354.8114043007101,409.3124917747361,92.793717059214,354.74449797700237
Bugishu,263.82921228243447,460.46785035942435,0,63.57385010806838,336.95735776800024,128.11020648083317,311.57412753584305,226.33654463692187,220.15605602871548,141.92905218288018,549.8158743582817,195.43674822831548,94.62442564557595,454.0271651375922,386.77108918672013
Bukedi,249.9651844520051,397.7998022680187,63.57385010806838,0,287.36866687263176,65.95688828202252,248.05163704829585,164.36291667546757,157.30563311556529,175.97411099976927,486.8237557499943,167.61802956769264,84.81712307456013,395.1617981448951,356.7402704957451
Bunyoro,195.16856212396226,217.16954672616106,336.95735776800024,287.36866687263176,0,260.2096088437076,186.61584836572956,160.36358731719181,175.7843157965482,334.53163546286527,297.30285097336036,167.4551064367286,255.25141873143718,153.52341054658666,148.50162549142024
Busoga,270.8510582122886,340.60407901528555,128.11020648083317,65.95688828202252,260.2096088437076,0,187.21260980376195,114.04900520101542,103.17523357792079,234.80820336752015,428.083884270463,180.63070163996014,130.39569460158137,347.95790458864207,355.0275278572664
South Buganda,326.1947153997495,155.78547756746218,311.57412753584305,248.05163704829585,186.61584836572956,187.21260980376195,0,94.65202208097612,94.50965325121481,384.0389693065637,241.22636342339132,249.81083528325098,275.247156991229,187.09854223406901,331.897321518158
North Buganda,245.78225075724419,234.3888964899051,226.33654463692187,164.36291667546757,160.36358731719181,114.04900520101542,94.65202208097612,0,15.472946015370297,289.4220537593367,324.2572181852467,161.78793557097134,181.0431114716786,234.02176398564103,283.83605927928966
Kampala,256.48271982593207,240.49541215809657,220.15605602871548,157.30563311556529,175.7843157965482,103.17523357792079,94.50965325121481,15.472946015370297,0,290.75514751953597,329.65982036316774,170.55554708217545,181.2549607151183,245.09245872836306,298.6389412795244
Karamoja,183.48162586887102,511.58729685091527,141.92905218288018,175.97411099976927,334.53163546286527,234.80820336752015,384.0389693065637,289.4220537593367,290.75514751953597,0,601.832809082742,167.10709593049236,110.26255760654585,479.0743754410652,325.5152339349899
Kigezi,491.17883984233043,90.58062935924183,549.8158743582817,486.8237557499943,297.30285097336036,428.083884270463,241.22636342339132,324.2572181852467,329.65982036316774,601.832809082742,0,443.49872896185576,499.89274640823254,150.3125345335637,424.13207242132125
Lango,91.13655724963355,354.8114043007101,195.43674822831548,167.61802956769264,167.4551064367286,180.63070163996014,249.81083528325098,161.78793557097134,170.55554708217545,167.10709593049236,443.49872896185576,0,101.76499199968585,313.6824155424321,191.64171776638983
Teso,171.17031856623714,409.3124917747361,94.62442564557595,84.81712307456013,255.25141873143718,130.39569460158137,275.247156991229,181.0431114716786,181.2549607151183,110.26255760654585,499.89274640823254,101.76499199968585,0,387.036386658037,292.3928810240065
Tooro,348.5501838733066,92.793717059214,454.0271651375922,395.1617981448951,153.52341054658666,347.95790458864207,187.09854223406901,234.02176398564103,245.09245872836306,479.0743754410652,150.3125345335637,313.6824155424321,387.036386658037,0,273.8270843136336
West Nile,142.58012835493565,354.74449797700237,386.77108918672013,356.7402704957451,148.50162549142024,355.0275278572664,331.897321518158,283.83605927928966,298.6389412795244,325.5152339349899,424.13207242132125,191.64171776638983,292.3928810240065,273.8270843136336,0
