Region1,Region2,GeoDist_km
Acholi,Ankole,407.2612448524914
Acholi,Bugishu,263.82921228243447
Acholi,Bukedi,249.9651844520051
Acholi,Bunyoro,195.16856212396226
Acholi,Busoga,270.8510582122886
Acholi,South Buganda,326.1947153997495
Acholi,North Buganda,245.78225075724419
Acholi,Kampala,256.48271982593207
Acholi,Karamoja,183.48162586887102
Acholi,Kigezi,491.17883984233043
Acholi,Lango,91.13655724963355
Acholi,Teso,171.17031856623714
Acholi,Tooro,348.5501838733066
Acholi,West Nile,142.58012835493565
Ankole,Bugishu,460.46785035942435
Ankole,Bukedi,397.7998022680187
Ankole,Bunyoro,217.16954672616106
Ankole,Busoga,340.60407901528555
Ankole,South Buganda,155.78547756746218
Ankole,North Buganda,234.3888964899051
Ankole,Kampala,240.49541215809657
Ankole,Karamoja,511.58729685091527
Ankole,Kigezi,90.58062935924183
Ankole,Lango,354.8114043007101
Ankole,Teso,409.3124917747361
Ankole,Tooro,92.793717059214
Ankole,West Nile,354.74449797700237
Bugishu,Bukedi,63.57385010806838
Bugishu,Bunyoro,336.95735776800024
Bugishu,Busoga,128.11020648083317
Bugishu,South Buganda,311.57412753584305
Bugishu,North Buganda,226.33654463692187
Bugishu,Kampala,220.15605602871548
Bugishu,Karamoja,141.92905218288018
Bugishu,Kigezi,549.8158743582817
Bugishu,Lango,195.43674822831548
Bugishu,Teso,94.62442564557595
Bugishu,Tooro,454.0271651375922
Bugishu,West Nile,386.77108918672013
Bukedi,Bunyoro,287.36866687263176
Bukedi,Busoga,65.95688828202252
Bukedi,South Buganda,248.05163704829585
Bukedi,North Buganda,164.36291667546757
Bukedi,Kampala,157.30563311556529
Bukedi,Karamoja,175.97411099976927
Bukedi,Kigezi,486.8237557499943
Bukedi,Lango,167.61802956769264
Bukedi,Teso,84.81712307456013
Bukedi,Tooro,395.1617981448951
Bukedi,West Nile,356.7402704957451
Bunyoro,Busoga,260.2096088437076
Bunyoro,South Buganda,186.61584836572956
Bunyoro,North Buganda,160.36358731719181
Bunyoro,Kampala,175.7843157965482
Bunyoro,Karamoja,334.53163546286527
Bunyoro,Kigezi,297.30285097336036
Bunyoro,Lango,167.4551064367286
Bunyoro,Teso,255.25141873143718
Bunyoro,Tooro,153.52341054658666
Bunyoro,West Nile,148.50162549142024
Busoga,South Buganda,187.21260980376195
Busoga,North Buganda,114.04900520101542
Busoga,Kampala,103.17523357792079
Busoga,Karamoja,234.80820336752015
Busoga,Kigezi,428.083884270463
Busoga,Lango,180.63070163996014
Busoga,Teso,130.39569460158137
Busoga,Tooro,347.95790458864207
Busoga,West Nile,355.0275278572664
South Buganda,Teso,275.247156991229
South Buganda,Tooro,187.09854223406901
South Buganda,West Nile,331.897321518158
North Buganda,South Buganda,94.65202208097612
North Buganda,Teso,181.0431114716786
North Buganda,Tooro,234.02176398564103
North Buganda,West Nile,283.83605927928966
Kampala,South Buganda,94.50965325121481
Kampala,North Buganda,15.472946015370297
Kampala,Karamoja,290.75514751953597
Kampala,Kigezi,329.65982036316774
Kampala,Lango,170.55554708217545
Kampala,Teso,181.2549607151183
Kampala,Tooro,245.09245872836306
Kampala,West Nile,298.6389412795244
Karamoja,South Buganda,384.0389693065637
Karamoja,North Buganda,289.4220537593367
Karamoja,Kigezi,601.832809082742
Karamoja,Lango,167.10709593049236
Karamoja,Teso,110.26255760654585
Karamoja,Tooro,479.0743754410652
Karamoja,West Nile,325.5152339349899
Kigezi,South Buganda,241.22636342339132
Kigezi,North Buganda,324.2572181852467
Kigezi,Lango,443.49872896185576
Kigezi,Teso,499.89274640823254
Kigezi,Tooro,150.3125345335637
Kigezi,West Nile,424.13207242132125
Lango,South Buganda,249.81083528325098
Lango,North Buganda,161.78793557097134
Lango,Teso,101.76499199968585
Lango,Tooro,313.6824155424321
Lango,West Nile,191.64171776638983
Teso,Tooro,387.036386658037
Teso,West Nile,292.3928810240065
Tooro,West Nile,273.8270843136336
