"","Acholi","Ankole","Bugishu","Bukedi","Bunyoro","Busoga","Kampala","Karamoja","Kigezi","Lango","North Buganda","South Buganda","Teso","Tooro","West Nile"
"Acholi",0,0.297389023,0.211106077,0.146050274,0.139023632,0.081478655,0.31372346,0.012263358,0.312980466,0.02862519,0.210002408,0.269383967,0.025987953,0.241681263,0.14620623
"Ankole",0.297389023,0,0.086282946,0.151338749,0.158365391,0.215910368,0.016334437,0.285125665,0.015591443,0.268763833,0.087386615,0.028005056,0.27140107,0.05570776,0.151182793
"Bugishu",0.211106077,0.086282946,0,0.065055803,0.072082445,0.129627422,0.102617383,0.198842719,0.101874389,0.182480887,0.001103669,0.05827789,0.185118124,0.030575186,0.064899847
"Bukedi",0.146050274,0.151338749,0.065055803,0,0.00702664200000003,0.064571619,0.167673186,0.133786916,0.166930192,0.117425084,0.063952134,0.123333693,0.120062321,0.095630989,0.000155955999999957
"Bunyoro",0.139023632,0.158365391,0.072082445,0.00702664200000003,0,0.057544977,0.174699828,0.126760274,0.173956834,0.110398442,0.070978776,0.130360335,0.113035679,0.102657631,0.00718259799999998
"Busoga",0.081478655,0.215910368,0.129627422,0.064571619,0.057544977,0,0.232244805,0.069215297,0.231501811,0.052853465,0.128523753,0.187905312,0.055490702,0.160202608,0.064727575
"Kampala",0.31372346,0.016334437,0.102617383,0.167673186,0.174699828,0.232244805,0,0.301460102,0.000742993999999997,0.28509827,0.103721052,0.044339493,0.287735507,0.072042197,0.16751723
"Karamoja",0.012263358,0.285125665,0.198842719,0.133786916,0.126760274,0.069215297,0.301460102,0,0.300717108,0.016361832,0.19773905,0.257120609,0.013724595,0.229417905,0.133942872
"Kigezi",0.312980466,0.015591443,0.101874389,0.166930192,0.173956834,0.231501811,0.000742993999999997,0.300717108,0,0.284355276,0.102978058,0.043596499,0.286992513,0.071299203,0.166774236
"Lango",0.02862519,0.268763833,0.182480887,0.117425084,0.110398442,0.052853465,0.28509827,0.016361832,0.284355276,0,0.181377218,0.240758777,0.00263723700000001,0.213056073,0.11758104
"North Buganda",0.210002408,0.087386615,0.001103669,0.063952134,0.070978776,0.128523753,0.103721052,0.19773905,0.102978058,0.181377218,0,0.059381559,0.184014455,0.031678855,0.063796178
"South Buganda",0.269383967,0.028005056,0.05827789,0.123333693,0.130360335,0.187905312,0.044339493,0.257120609,0.043596499,0.240758777,0.059381559,0,0.243396014,0.027702704,0.123177737
"Teso",0.025987953,0.27140107,0.185118124,0.120062321,0.113035679,0.055490702,0.287735507,0.013724595,0.286992513,0.00263723700000001,0.184014455,0.243396014,0,0.21569331,0.120218277
"Tooro",0.241681263,0.05570776,0.030575186,0.095630989,0.102657631,0.160202608,0.072042197,0.229417905,0.071299203,0.213056073,0.031678855,0.027702704,0.21569331,0,0.095475033
"West Nile",0.14620623,0.151182793,0.064899847,0.000155955999999957,0.00718259799999998,0.064727575,0.16751723,0.133942872,0.166774236,0.11758104,0.063796178,0.123177737,0.120218277,0.095475033,0
